Id,DetectedCamera,AngleOfSign,SignAspectRatio,SignWidth,SignHeight,SignFacing (Target)
2c9180975a056a64015a1e0a52e57021,Rear,195,1.02,46,45,Rear
2c9180975a056a64015a1e17b32171e4,Rear,203,1.09,59,54,Rear
2c9180975a056a64015a1de4deb16bd5,Front,26,0.96,104,108,Front
2c9180975a056a64015a1de4deb16bdd,Rear,199,0.81,38,47,Rear
2c9180975a056a64015a1de4deb16bd6,Rear,208,0.93,54,58,Rear
2c9180975a056a64015a1e44ba4377f6,Front,29,0.83,65,78,Front
2c9180975a056a64015a1e01fd466f56,Left,245,0.93,109,117,Rear
2c9180975a056a64015a1e01fd466f50,Rear,204,1.04,56,54,Rear
2c9180975a056a64015a1e01fd466f4f,Front,25,0.95,104,109,Front
2c9180975a056a64015a1e01fd466f51,Right,74,0.51,53,103,Front
2c9180975a056a64015a1e1db63072a6,Front,12,0.93,41,44,Front
2c9180975a056a64015a1e1cff427278,Rear,196,0.98,46,47,Rear
2c9180975a056a64015a1e1195347126,Rear,205,1.02,87,85,Rear
2c9180975a056a64015a1e51ffcd7992,Rear,210,1.01,83,82,Rear
2c9180975a056a64015a1e04ad9f6f8b,Left,258,0.48,39,81,Rear
2c9180975a056a64015a1df8dc786e26,Front,21,1,75,75,Front
2c9180975a056a64015a1e050c296fce,Rear,203,1,46,46,Rear
2c9180975a056a64015a1e04ad9f6f7f,Front,26,0.88,67,76,Front
2c9180975a056a64015a1e050c296fd1,Rear,223,1.17,101,86,Rear
2c9180975a056a64015a1e050c296fd0,Front,35,1.07,131,122,Front
2c9180975a056a64015a1e04ad9f6f85,Front,20,0.95,54,57,Front
2c9180975a056a64015a1e04ad9f6f83,Right,49,1.04,127,122,Front
2c9180975a056a64015a1e04ad9f6f86,Rear,209,1.02,64,63,Rear
2c9180975a056a64015a1dd526986a70,Front,12,0.94,47,50,Front
2c9180975a056a64015a1e3b9ae27693,Front,11,0.95,35,37,Front
2c9180975a056a64015a1e1d735c729d,Front,22,0.86,64,74,Front
2c9180975a056a64015a1e1d735c7294,Rear,224,1.14,96,84,Rear
2c9180975a056a64015a1e1d735c7293,Right,76,0.64,65,102,Front
2c9180975a056a64015a1e41bbc27766,Rear,219,1.14,67,59,Rear
2c9180975a056a64015a1e41bbc2775f,Left,253,0.69,37,54,Rear
2c9180975a056a64015a1e41bbc27758,Left,248,0.75,44,59,Rear
2c9180975a056a64015a1e41bbc27756,Right,72,0.55,52,94,Front
2c9180975a056a64015a1dea8c556c5e,Front,22,0.9,71,79,Front
2c9180975a056a64015a1e13b6c7713e,Left,253,0.43,37,87,Rear
2c9180975a056a64015a1e0197f66f35,Rear,224,0.88,86,98,Rear
2c9180975a056a64015a1e01702f6f2f,Front,26,1.07,114,107,Front
2c9180975a056a64015a1e0da21c707c,Rear,197,0.87,39,45,Rear
2c9180975a056a64015a1dceefde69de,Right,43,1.2,200,167,Front
2c9180975a056a64015a1dee86696cd7,Front,25,1.01,81,80,Front
2c9180975a056a64015a1dee86696cda,Left,244,0.82,72,88,Rear
